"","Column1","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"457",57,"8468bpqWeIQ","That’s funny...never even heard of this place and I’ve been making my Banana Pudding like that FOR YEARS. It’s not an original idea, y’all.","That’s funny...never even heard of this place and I’ve been making my Banana Pudding like that FOR YEARS. It’s not an original idea, y’all.","Jennifer Hrovat","https://yt3.ggpht.com/a/AATXAJzKMvYm4JU2IcdS10hIB669bRv2vrSP8Gv-BQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClG6hCm2Xp_v7XaytKnqB-g","UClG6hCm2Xp_v7XaytKnqB-g",TRUE,"none",0,"2020-04-29T13:25:06Z","2020-04-29T13:25:06Z","UgwU5WLYQrQjGoexuqF4AaABAg",NA,NA
"458",56,"8468bpqWeIQ","Their banana pudding is really good. Everything else they sell sucks","Their banana pudding is really good. Everything else they sell sucks","jben212","https://yt3.ggpht.com/a/AATXAJwMZMqBDrdctj39Ru98b7Xi0po1IL2EXXG1xQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC6PknrfJvW7s9at20PuAddg","UC6PknrfJvW7s9at20PuAddg",TRUE,"none",0,"2020-04-29T13:38:12Z","2020-04-29T13:38:12Z","Ugw8ZQ4d3jPBbQ8wpw14AaABAg",NA,NA
"459",55,"8468bpqWeIQ","AAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHH","AAAAAAAAAAAAAAAAAAAAAHHHHHHHHHHHHH","Andrew Will","https://yt3.ggpht.com/a/AATXAJyEfM-9Jp6PxTrSqdsyRO7tdaE1joll_O5JmQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCij2C8LmY9ZMJRf5mXAl1ew","UCij2C8LmY9ZMJRf5mXAl1ew",TRUE,"none",1,"2020-04-29T13:52:09Z","2020-04-29T13:52:09Z","Ugw2m1MyQw9ucnFtal94AaABAg",NA,NA
"460",54,"8468bpqWeIQ","That isn&#39;t a secret. Thats literally the recipe for banana pudding that every southerner has had as long as its been a cheap dessert.","That isn't a secret. Thats literally the recipe for banana pudding that every southerner has had as long as its been a cheap dessert.","My Public Drunken Persona","https://yt3.ggpht.com/a/AATXAJxlf6LxKa6pZZ3k5Yu2z-pMnkhinH49QI8SRA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCDZZiJhLkKJKDf3owEPJSfQ","UCDZZiJhLkKJKDf3owEPJSfQ",TRUE,"none",0,"2020-04-29T14:03:22Z","2020-04-29T14:03:22Z","Ugx-4F9ZH63WAL1WupN4AaABAg",NA,NA
"461",53,"8468bpqWeIQ","Yum.","Yum.","miss melyss","https://yt3.ggpht.com/a/AATXAJzR_J7TBZ6B-23-KFX1fq1nr8eD4wv93tGPeQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCwKs_Ik5EWdv_sFQIGBRyNQ","UCwKs_Ik5EWdv_sFQIGBRyNQ",TRUE,"none",0,"2020-04-29T14:33:33Z","2020-04-29T14:33:33Z","Ugzxsm0pkDEFhlP-8cR4AaABAg",NA,NA
"462",52,"8468bpqWeIQ","AWESOME <U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>","AWESOME <U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A><U+0001F60A>","doris barnes","https://yt3.ggpht.com/a/AATXAJynQxna0ixUdA1ptrY0mAIHYN3NvpbBSQRMvQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCD2ZU9V1t0Y69klrsfmbqNg","UCD2ZU9V1t0Y69klrsfmbqNg",TRUE,"none",0,"2020-04-29T15:01:06Z","2020-04-29T15:01:06Z","UgwMdX_UUTjKYt_D_k94AaABAg",NA,NA
"463",51,"8468bpqWeIQ","My moms been making this for  30 years......","My moms been making this for  30 years......","Jules D","https://yt3.ggpht.com/a/AATXAJwGwIFpaIH8gHUIWANCkUICSNozcLpqxAw8pg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC5-CShgY6CI5poBVUjWN5Zg","UC5-CShgY6CI5poBVUjWN5Zg",TRUE,"none",0,"2020-04-29T16:20:22Z","2020-04-29T16:20:22Z","UgwRv3NlfknExrSs8oN4AaABAg",NA,NA
"464",50,"8468bpqWeIQ","I loved when my mom made this","I loved when my mom made this","Astro Magss","https://yt3.ggpht.com/a/AATXAJwF2V___94dZDRqrupKlLGEnultMM3E58khtg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCLAMkKtxv5c3EkCBvuO2vWQ","UCLAMkKtxv5c3EkCBvuO2vWQ",TRUE,"none",0,"2020-04-29T17:32:30Z","2020-04-29T17:32:30Z","UgxZWIoHzDlSQ168W454AaABAg",NA,NA
"465",49,"8468bpqWeIQ","THIS IS SO NOT FAIR TO A PREGNANT WOMAN!!! <U+0001F62D><U+0001F62D><U+0001F62D>","THIS IS SO NOT FAIR TO A PREGNANT WOMAN!!! <U+0001F62D><U+0001F62D><U+0001F62D>","Chantelly Lace","https://yt3.ggpht.com/a/AATXAJwyGGBnZa90DTFrgjjeCmnIqIdzDoiOVD6dEw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChLGOStqLzvvpRUMJZmQREA","UChLGOStqLzvvpRUMJZmQREA",TRUE,"none",0,"2020-04-29T18:52:35Z","2020-04-29T18:52:35Z","Ugxd2QMk3Xk4jagVLNx4AaABAg",NA,NA
"466",48,"8468bpqWeIQ","I always thought there was cake involved. Wow!! Not so hard.<br />I have banabas, but no cookies or pudding.","I always thought there was cake involved. Wow!! Not so hard.
I have banabas, but no cookies or pudding.","Monique UU","https://yt3.ggpht.com/a/AATXAJysOC2K3KA21Er_osg29TK-ADVpFHhBryn4-g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC4hfwAhGXlIRI6p7031iBfA","UC4hfwAhGXlIRI6p7031iBfA",TRUE,"none",1,"2020-04-29T20:11:37Z","2020-04-29T20:12:38Z","UgxQtZmLxNBtsLUIy-F4AaABAg",NA,NA
"467",47,"8468bpqWeIQ","Secret? I thought that was just how you made banana pudding...","Secret? I thought that was just how you made banana pudding...","BlehhhBlooo","https://yt3.ggpht.com/a/AATXAJy82OLz4yWsIyVh5vS9F0fgZdF0YCtE_1LSvg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCFUSadzGQ-zixVAVjmYvafg","UCFUSadzGQ-zixVAVjmYvafg",TRUE,"none",0,"2020-04-29T21:08:55Z","2020-04-29T21:08:55Z","Ugw3HRZlhLQsj8aW8LB4AaABAg",NA,NA
"468",785,"8468bpqWeIQ","Por favor poderiam ser em português,sou do Brasil <U+0001F60D><U+0001F917>","Por favor poderiam ser em português,sou do Brasil <U+0001F60D><U+0001F917>","Ender games","https://yt3.ggpht.com/a/AATXAJyVbcNVIukz_QTIsXyAIMoSxWSxTAvlOH_Z4Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbWHoww-5V9-8o-4p6lFbsg","UCbWHoww-5V9-8o-4p6lFbsg",TRUE,"none",0,"2020-04-29T21:53:05Z","2020-04-29T21:53:05Z","Ugzd5wTr2sEGq5xeQQR4AaABAg.90qqUQY-SWg982epxRVLMm","Ugzd5wTr2sEGq5xeQQR4AaABAg",NA
"469",46,"8468bpqWeIQ","I have been making mine like that for years. No one needs a serving that big though. That pudding is very rich","I have been making mine like that for years. No one needs a serving that big though. That pudding is very rich","Texas PatriotGal","https://yt3.ggpht.com/a/AATXAJylLfdPtjEs7TuffBiJfxVhV2yFRMzl5aRj3g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWMk2SlfRHPw1MJ4rJc0kwA","UCWMk2SlfRHPw1MJ4rJc0kwA",TRUE,"none",0,"2020-04-29T23:47:48Z","2020-04-29T23:47:48Z","UgzC3E0j3k2QBskXkwZ4AaABAg",NA,NA
"470",45,"8468bpqWeIQ","No wonder US citizens most of them fat and flabby like the banana pudding and cup cake frosting .. if they seat next to a Japanese people .. can be seen from faraway .. humongous !","No wonder US citizens most of them fat and flabby like the banana pudding and cup cake frosting .. if they seat next to a Japanese people .. can be seen from faraway .. humongous !","Fauziah Mohd Din Mohd Din","https://yt3.ggpht.com/a/AATXAJwo3zdMyPk4vL0otmjOzx9FIo23xVe1cJdL_g=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCgMeoVy2ZowzNABbLZCRf0g","UCgMeoVy2ZowzNABbLZCRf0g",TRUE,"none",0,"2020-04-30T01:54:09Z","2020-04-30T01:54:09Z","Ugx0U4ALPCKdchH6Zxh4AaABAg",NA,NA
"471",44,"8468bpqWeIQ","Call me crazy but I think its bananas","Call me crazy but I think its bananas","Thomas Gilliam","https://yt3.ggpht.com/a/AATXAJw6iNm0P6bgBBtLI3Ec33ncyAfOn1RZSpi3eA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCv5Ffkt0umjNp5kUbr3oWZg","UCv5Ffkt0umjNp5kUbr3oWZg",TRUE,"none",0,"2020-04-30T08:34:38Z","2020-04-30T08:34:38Z","Ugy2qWv49V286KPRCpB4AaABAg",NA,NA
"472",43,"8468bpqWeIQ","A lot of calories","A lot of calories","Larry Johnson","https://yt3.ggpht.com/a/AATXAJzaRelAIZit1TO8wO2i468UgqHBbE-HLBax9A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCEcUDaGn1x20yZhXW6E6Phw","UCEcUDaGn1x20yZhXW6E6Phw",TRUE,"none",0,"2020-04-30T11:09:43Z","2020-04-30T11:09:43Z","Ugx_GJXf4gtKo_NTNYF4AaABAg",NA,NA
"473",42,"8468bpqWeIQ","It comes with an extra side of the diabeetus","It comes with an extra side of the diabeetus","Martimus Prime","https://yt3.ggpht.com/a/AATXAJwf7q7xYe56TsRNFi0XFtgrfc7mKN7FDQLERA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UChzWc11hyOi83wYxtbo4gIw","UChzWc11hyOi83wYxtbo4gIw",TRUE,"none",0,"2020-04-30T12:24:15Z","2020-04-30T12:24:15Z","UgwhgVyCr4w0r69DiQl4AaABAg",NA,NA
"474",41,"8468bpqWeIQ","Easy and Delicious.. Will Make Thanks..","Easy and Delicious.. Will Make Thanks..","melvina mccullough","https://yt3.ggpht.com/a/AATXAJz45tfx8XnbugnkqqpMh852ER6EKFs8RNBirQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCT3U8IdXWoBfXsqMZpnpDFg","UCT3U8IdXWoBfXsqMZpnpDFg",TRUE,"none",0,"2020-04-30T13:19:22Z","2020-04-30T13:19:22Z","UgylWgB61bzZpSHoUqx4AaABAg",NA,NA
"475",40,"8468bpqWeIQ","Thisssss","Thisssss","Miy'Ka El Lovai","https://yt3.ggpht.com/a/AATXAJz6vJqALgw1ZqyCrkhU_pijN_1qfpfEqEnrnA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCKDKT4Tn4gfirnivYAn_iMw","UCKDKT4Tn4gfirnivYAn_iMw",TRUE,"none",0,"2020-04-30T14:07:05Z","2020-04-30T14:07:05Z","UgxpjI7qG72Hy5G4y3N4AaABAg",NA,NA
"476",39,"8468bpqWeIQ","That actually looks incredibly unappetizing","That actually looks incredibly unappetizing","Luxurious Stain","https://yt3.ggpht.com/a/AATXAJxUHTceaVuW0Q20aTNamQCvQ1DwTRwSS-dGZA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCKz-burZQ2SXk_7KR81gmFw","UCKz-burZQ2SXk_7KR81gmFw",TRUE,"none",0,"2020-04-30T15:07:43Z","2020-04-30T15:07:43Z","UgwkN_Zzsp7q3PzrCCN4AaABAg",NA,NA
"477",784,"8468bpqWeIQ","Nope! Making this !","Nope! Making this !","Ceci eff","https://yt3.ggpht.com/a/AATXAJxSp_rCxaf9SAbxuv_mctfjcgMmG7Zfuoi91w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCR4VmSkvEqat5kLAUKiC72A","UCR4VmSkvEqat5kLAUKiC72A",TRUE,"none",0,"2020-04-30T16:17:52Z","2020-04-30T16:17:52Z","Ugzd5wTr2sEGq5xeQQR4AaABAg.90qqUQY-SWg984dGdbTbks","Ugzd5wTr2sEGq5xeQQR4AaABAg",NA
"478",38,"8468bpqWeIQ","Which country is it?this in London would be a family portion to share.","Which country is it?this in London would be a family portion to share.","D Greg","https://yt3.ggpht.com/a/AATXAJwWMr6P5zmJDvMGyOK6Vuj99zCdPLk38LXs7A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCWekMjc5b0Lk3zYHRPB4AeQ","UCWekMjc5b0Lk3zYHRPB4AeQ",TRUE,"none",0,"2020-04-30T17:13:55Z","2020-04-30T17:13:55Z","UgyNNyFSsSIKwjz383x4AaABAg",NA,NA
"479",37,"8468bpqWeIQ","And ...... now they’re closed. “Non essential”. Thanks government","And ...... now they’re closed. “Non essential”. Thanks government","John The Revelator","https://yt3.ggpht.com/a/AATXAJyI4J-iLstd_q050xecKDn3V0G3jr9GwxEK9Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCUDAL76q-rWiTU_PcyPCaTg","UCUDAL76q-rWiTU_PcyPCaTg",TRUE,"none",0,"2020-04-30T18:16:21Z","2020-04-30T18:16:21Z","Ugzm9turYbCGPI4BPCh4AaABAg",NA,NA
"480",36,"8468bpqWeIQ","The last time I checked some of the pudding always goes into the whip topping, some big secret <U+0001F606>","The last time I checked some of the pudding always goes into the whip topping, some big secret <U+0001F606>","Melissa Van Horn","https://yt3.ggpht.com/a/AATXAJxupc5RP7fW088e6CTrQUD3znrGRp4xz1B2Bw=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCulSe4aPvt_xeL7r8oYqGUg","UCulSe4aPvt_xeL7r8oYqGUg",TRUE,"none",0,"2020-04-30T18:30:22Z","2020-04-30T18:30:22Z","Ugx5bEFfkXXiJCZXdrp4AaABAg",NA,NA
"481",35,"8468bpqWeIQ","Everyone says their food is famous bullshit","Everyone says their food is famous bullshit","Marcus video","https://yt3.ggpht.com/a/AATXAJyM071nNx55FgDlKj6iH2-ab6YL0aJ7-ryAIQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC8MxFUNVvjHM8w8vV7L5tNw","UC8MxFUNVvjHM8w8vV7L5tNw",TRUE,"none",0,"2020-04-30T22:23:25Z","2020-04-30T22:23:25Z","UgximquePBETrNG8kkZ4AaABAg",NA,NA
"482",34,"8468bpqWeIQ","<U+0001F62D><U+0001F97A><U+0001F60D><U+0001F494>","<U+0001F62D><U+0001F97A><U+0001F60D><U+0001F494>","Lara lili","https://yt3.ggpht.com/a/AATXAJwsEfcRr2fe4vRajiKo0LeKvisWQZ4qTgbzQQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UClllcOohs4ZLRAAThxSVmnA","UClllcOohs4ZLRAAThxSVmnA",TRUE,"none",0,"2020-05-01T01:50:03Z","2020-05-01T01:50:03Z","UgwELKkLkc6sXhFCmoV4AaABAg",NA,NA
"483",33,"8468bpqWeIQ","When I was a kid we were poor. This is a desert my mom used to make for us quite often. It was so good <U+0001F60D>.","When I was a kid we were poor. This is a desert my mom used to make for us quite often. It was so good <U+0001F60D>.","lostintime86","https://yt3.ggpht.com/a/AATXAJwEMMc6qXlpP7QksgyiDdK8fVl2zSFsmVzNmg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC-EikWeu1SfB4k363DfwEvg","UC-EikWeu1SfB4k363DfwEvg",TRUE,"none",0,"2020-05-01T03:06:11Z","2020-05-01T03:06:11Z","UgxZ-21o9gimpaRjkLZ4AaABAg",NA,NA
"484",32,"8468bpqWeIQ","I want that hecking pudding!!!","I want that hecking pudding!!!","Puddor","https://yt3.ggpht.com/a/AATXAJzkpOwPzWyGgykCcKWgXxtYY549jKdQb4zBeg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC7qdbUdAeu2KnkMbw3lPaew","UC7qdbUdAeu2KnkMbw3lPaew",TRUE,"none",0,"2020-05-01T04:23:49Z","2020-05-01T04:23:49Z","UgyUcPQ3MvZkHRk_eux4AaABAg",NA,NA
"485",31,"8468bpqWeIQ","One layer of cream, one layer of wafers, one layer of cholesterol, one layer of bananas, one layer of heart attack, one layer of diabetes, one layer of cream...","One layer of cream, one layer of wafers, one layer of cholesterol, one layer of bananas, one layer of heart attack, one layer of diabetes, one layer of cream...","Lorenzo B.","https://yt3.ggpht.com/a/AATXAJwhXw_KaA6-WRkYxW8e8MwK-TUUWpntqynK8w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCVRZ4pwIvAq5Wzu_B1FYl4Q","UCVRZ4pwIvAq5Wzu_B1FYl4Q",TRUE,"none",0,"2020-05-01T04:58:28Z","2020-05-01T04:58:28Z","UgwWmjsqfMvsM45qYd54AaABAg",NA,NA
