"","videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus","date"
"1","X6l9S08Scww","Thank you for all you do and show us with love from South Africa","Thank you for all you do and show us with love from South Africa","Clinton Mac Dougall","https://yt3.ggpht.com/a/AATXAJxiMAXO3fs2yrd3x1A4R6AAgAqcp2M6FJm11Q=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCY28ldLUynZzyqS8MLuqWpg","UCY28ldLUynZzyqS8MLuqWpg","TRUE","none","0","2020-01-08T07:47:56Z","2020-01-08T07:47:56Z","Ugy0zvrqgsXOj-ey0lp4AaABAg",NA,NA,2020-01-08
"2","X6l9S08Scww","Hmmm I finally followed Robert&#39;s advice and took Wood Prix instructions. It&#39;s great for beginners, and has some advanced stuff too.","Hmmm I finally followed Robert's advice and took Wood Prix instructions. It's great for beginners, and has some advanced stuff too.","Fazan Hamrock","https://yt3.ggpht.com/a/AATXAJydeaV2NomdL2UByH7K8HS5L3Cho_JoypjE-w=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCuMuV2EoUT640q39kLAe2TQ","UCuMuV2EoUT640q39kLAe2TQ","TRUE","none","16","2020-01-21T12:22:14Z","2020-01-21T12:22:14Z","Ugx1PG7WuWgDIo1hoG54AaABAg",NA,NA,2020-01-21
"3","X6l9S08Scww","<U+041B><U+043E><U+0436><U+043A><U+0430> <U+043A><U+0440><U+0430><U+0441><U+0438><U+0432><U+0430><U+044F>, <U+043D><U+043E> <U+0435><U+0441><U+0442><U+044C> <U+0435><U+0439> <U+0431><U+0443><U+0434><U+0435><U+0442> <U+043D><U+0435> <U+0443><U+0434><U+043E><U+0431><U+043D><U+043E>!","<U+041B><U+043E><U+0436><U+043A><U+0430> <U+043A><U+0440><U+0430><U+0441><U+0438><U+0432><U+0430><U+044F>, <U+043D><U+043E> <U+0435><U+0441><U+0442><U+044C> <U+0435><U+0439> <U+0431><U+0443><U+0434><U+0435><U+0442> <U+043D><U+0435> <U+0443><U+0434><U+043E><U+0431><U+043D><U+043E>!","Fisher Man","https://yt3.ggpht.com/a/AATXAJwmEwSTtnGmb6LwGYSDNhq3rsgygnEwBIrd-A=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCmUUCb-04dSKACWjrSmXGzg","UCmUUCb-04dSKACWjrSmXGzg","TRUE","none","0","2020-01-23T20:59:41Z","2020-01-23T20:59:41Z","Ugx3NU12XjPcRTVELZd4AaABAg",NA,NA,2020-01-23
"4","X6l9S08Scww","yeah,,,.  finally he showed the HIDDEN spoon inside of the wood piece..he shape the wood or he just sculpt the wood.... That&#39;s how our life also....we must want to remove unwanted things from ourselves....then damn sure we also look like this osm thing..I.e.., the wooden spoon.....Folks !!  we shape ourself <U+0001F49D> no one can come to shape us...&quot;Always u r hero to urself or always u r enemy to urself&quot;...Think about it ! go ahead...","yeah,,,.  finally he showed the HIDDEN spoon inside of the wood piece..he shape the wood or he just sculpt the wood.... That's how our life also....we must want to remove unwanted things from ourselves....then damn sure we also look like this osm thing..I.e.., the wooden spoon.....Folks !!  we shape ourself <U+0001F49D> no one can come to shape us...""Always u r hero to urself or always u r enemy to urself""...Think about it ! go ahead...","Gokul nath","https://yt3.ggpht.com/a/AATXAJyiOMOS6OpMbQLyxJFaKw1H_N6Kg57SOMF8iQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC8rUB7EjgwyDExfy9nppcXQ","UC8rUB7EjgwyDExfy9nppcXQ","TRUE","none","0","2020-01-30T08:22:50Z","2020-01-30T08:29:31Z","Ugxyk2JPqqHWgVHNw_t4AaABAg",NA,NA,2020-01-30
"5","X6l9S08Scww","Bravo majstor <U+0001F44D>","Bravo majstor <U+0001F44D>","Miroslav Milosevic","https://yt3.ggpht.com/a/AATXAJyKQ23FzgM-Bber54_OpvPhBxY9LTkrkJdB=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCSy19_b18artAbr6g5eMODw","UCSy19_b18artAbr6g5eMODw","TRUE","none","0","2020-02-09T10:52:45Z","2020-02-09T10:52:45Z","UgzakNj486mhUoSdbUJ4AaABAg",NA,NA,2020-02-09
"6","X6l9S08Scww","That is a  really fine spoon","That is a  really fine spoon","Benji Aparicio","https://yt3.ggpht.com/a/AATXAJxdeyyA75pgATMF_7YBT4WNbfLWICeucA7yrg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCo30OjUm9ZkCNu63EyB81Gw","UCo30OjUm9ZkCNu63EyB81Gw","TRUE","none","0","2020-02-15T20:38:26Z","2020-02-15T20:38:26Z","UgwQ99-F5ZrCArf1dM54AaABAg",NA,NA,2020-02-15
"7","X6l9S08Scww","2020????","2020????","<U+BE75><U+AFB8><U+B625><U+AFB8>","https://yt3.ggpht.com/a/AATXAJzMWeeXVnN1AvWsVb_t3eHwBSeJ62jcMf7aOA=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UC3BXYe2RDJxvjq0gknQ3o_A","UC3BXYe2RDJxvjq0gknQ3o_A","TRUE","none","0","2020-02-19T19:22:05Z","2020-02-19T19:22:05Z","UgwANNDmt0VMbNYf9Yt4AaABAg",NA,NA,2020-02-19
"8","X6l9S08Scww","<U+0425><U+043E><U+0440><U+043E><U+0448><U+0430><U+044F> <U+043B><U+043E><U+0436><U+043A><U+0430>. <U+041B><U+0430><U+0439><U+043A>","<U+0425><U+043E><U+0440><U+043E><U+0448><U+0430><U+044F> <U+043B><U+043E><U+0436><U+043A><U+0430>. <U+041B><U+0430><U+0439><U+043A>","PINEHA23","https://yt3.ggpht.com/a/AATXAJxOc2tOqt4nv_Ax88-HBrYG7v6OHEBpZx2jxg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCbHgE62DO8GyQKPtv_p9bTw","UCbHgE62DO8GyQKPtv_p9bTw","TRUE","none","0","2020-02-19T19:11:18Z","2020-02-19T19:11:18Z","Ugw7v6upi5sYtrjxKnR4AaABAg",NA,NA,2020-02-19
"9","X6l9S08Scww","There ya go... Something to give the kids a nightmare over! Yesssss.","There ya go... Something to give the kids a nightmare over! Yesssss.","Ben Gardiner","https://yt3.ggpht.com/a/AATXAJzrYN9MZ1ijUXC5Qvp2ynJcTHTsVCvw3VKzNg=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCASGPPdqUv4XLImk349HdKw","UCASGPPdqUv4XLImk349HdKw","TRUE","none","0","2020-02-20T21:35:45Z","2020-02-20T21:35:45Z","UgxEN6-Ke-NB8JqjYqp4AaABAg",NA,NA,2020-02-20
"10","X6l9S08Scww","Beautiful.","Beautiful.","Jose Moreno","https://yt3.ggpht.com/a/AATXAJxC4lzSFthOv-DC44MaMu3zvv0uTFL5XxszPQ=s48-c-k-c0xffffffff-no-rj-mo","http://www.youtube.com/channel/UCp2GhauFIWCEdZvQAoYuPXA","UCp2GhauFIWCEdZvQAoYuPXA","TRUE","none","0","2020-02-22T20:48:35Z","2020-02-22T20:48:35Z","UgwOPUXZA07jHD6CrHt4AaABAg",NA,NA,2020-02-22
